Database Parties,LAD,,ECRef,RegulatedEntityName,RegulatedEntityTypeName,RegistrationStatusName,RegisterName,ApprovedDate
Independent Group (Scdc),South Cambridgeshire,E07000012,,,,,,
Sk Independents,South Kesteven,E07000141,,,,,,
Henley Residents' Group,South Oxfordshire,E07000179,PP199,Henley Residents Group,Political Party,Registered,Great Britain,05/09/01
Penwortham Independent,South Ribble,E07000126,,,,,,
South Ribble Independents,South Ribble,E07000126,,,,,,
Southampton Independents,Southampton,E06000045,PP6364,Southampton Independents,Political Party,Registered,Great Britain,20/03/17
Ashford And Staines Residents,Spelthorne,E07000213,,,,,,
Moorlands Democratic Alliance,Staffordshire Moorlands,E07000198,,,,,,
Independent Ratepayers,Stockport,E08000007,,,,,,
Stockport Residents,Stockport,E08000007,,,,,,
Ingleby Barwick Independent Society,Stockton-on-Tees,E06000004,PP427,Ingleby Barwick Independent Society,Political Party,Registered,Great Britain,02/02/05
Thornaby Independents Association,Stockton-on-Tees,E06000004,PP296,Thornaby Independent Association,Political Party,Registered,Great Britain,14/03/03
City Independents,Stoke-on-Trent,E06000021,PP396,City Independents,Political Party,Registered,Great Britain,16/06/04
For Britain,Stoke-on-Trent,E06000021,PP6661,The For Britain Movement,Political Party,Registered,Great Britain,09/03/18
Sutton Independent Residents,Sutton,E09000029,PPm3917,Independents for Sutton,Minor Party,Registered,,22/02/16
The Swale Group,Swale,E07000113,PP6730,Swale Independents,Political Party,Registered,Great Britain,21/05/18
Oxted & Limpsfield Residents' Group,Tandridge,E07000215,PP3978,Oxted & Limpsfield Residents Group,Political Party,Registered,Great Britain,23/03/16
Tendring Independents,Tendring,E07000076,,,,,,
Tendring First,Tendring,E07000076,PP661,Tendring First,Political Party,Registered,Great Britain,26/03/07
Holland-On-Sea,Tendring,E07000076,PP6638,Holland On Sea & Eastcliff Matters,Political Party,Registered,Great Britain,31/10/17
Thanet Independent Councillors,Thanet,E07000114,,,,,,
Thurrock Independents,Thurrock,E06000034,PP6707,Thurrock Independents,Political Party,Registered,Great Britain,16/02/18
Independent Group,Torbay,E06000027,,,,,,
People'S Alliance Of Tower Hamlets,Tower Hamlets,E09000030,PP6607,People's Alliance of Tower Hamlets,Political Party,Registered,Great Britain,26/02/18
Tunbridge Wells Alliance,Tunbridge Wells,E07000116,PP6711,Tunbridge Wells Alliance,Political Party,Registered,Great Britain,26/02/18
Residents For Uttlesford,Uttlesford,E07000077,PP2468,Residents for Uttlesford,Political Party,Registered,Great Britain,29/10/14
Whitnash Residents Association,Warwick,E07000222,PP129,Whitnash Residents Association,Political Party,Registered,Great Britain,30/03/01
Farnham Residents,Waverley,E07000216,PP2663,Farnham Residents,Political Party,Registered,Great Britain,01/04/15
Wealden Independents,Wealden,E07000065,,,,,,
Independent Democrat,Wealden,E07000065,PP6343,Independent Democrats,Political Party,Registered,Great Britain,15/08/17
Our West Lancashire,West Lancashire,E07000127,PP2642,Our West Lancashire,Political Party,Registered,Great Britain,20/02/15
Lincolnshire Independent,West Lindsey,E07000142,PP733,Lincolnshire Independents Lincolnshire First,Political Party,Registered,Great Britain,19/12/08
Independent Network,Wigan,E08000010,PP1951,Independent Network,Political Party,Registered,Great Britain,05/12/12
Shevington Independents,Wigan,E08000010,,,,,,
Standish Independents,Wigan,E08000010,,,,,,
Independent - Old Windsor Residents' Association,Windsor and Maidenhead,E06000049,PP319,Old Windsor Residents Association,Political Party,Registered,Great Britain,24/03/03
East Wycombe Independent Party,Wycombe,E07000007,PP2601,East Wycombe Independent Party,Political Party,Registered,Great Britain,18/03/15
Independent Community & Health Concern,Wyre Forest,E07000239,,,,,,
York Independents,York,E06000014,,,,,,
Independent Socialists York,York,E06000014,,,,,,
